account_id	Account ID	TEXT	Advertiser
account_name	Account Name	TEXT	Advertiser
ad_format	Ad Format	TEXT	
ad_group_id	Ad group ID	TEXT	Ad Group
ad_group_name	Ad group name	TEXT	Ad Group
ad_group_operation_status	Ad group operation status	TEXT	
ad_group_placement_type	Ad Group Placement type	TEXT	
ad_id	Ad ID	TEXT	Ad
ad_name	Ad name	TEXT	Ad
ad_operation_status	Ad operation status	TEXT	Ad
ad_profile_image	Ad Profile image	TEXT	Ad
ad_status	Ad Status (tiktok)	TEXT	Ad
ad_text	Ad title	TEXT	Ad
ad_url	Ad URL.	TEXT	Ad
adgroup_status	Adgroup Status	TEXT	
age	Age	TEXT	Audience (Age)
audience_placement	Audience Placement	TEXT	Audience (Placement)
average_video_play	Average play time per video view	NUMERIC	Interactions (Videos)
average_video_play_non_aggregated	(Internal) Average play time per video view (Non-Aggregated)	NUMERIC	Interactions (Videos)
average_video_play_per_user	Average play time per user	NUMERIC	Interactions (Videos)
average_video_play_per_user_non_aggregated	(Internal) Average play time per user (Non-Aggregated)	NUMERIC	Interactions (Videos)
avg_value_per_pageview	Value per page view (website)	NUMERIC	Conversions (Website)
billed_cost	Net cost	NUMERIC	Performance
campaign	Campaign	TEXT	Campaign
campaign_app_profile_page_state	Campaign App Profile Page State	TEXT	Campaign
campaign_id	Campaign ID	TEXT	Campaign
campaign_is_smart_performance_campaign	Campaign Is Smart Performance	BOOLEAN	Campaign
campaign_name	Campaign	TEXT	Campaign
campaign_operation_status	Campaign Operation Status	TEXT	Campaign
campaign_optimization_goal	Campaign Optimization Goal	TEXT	Campaign
campaign_status	Campaign Status	TEXT	Campaign
clicks	Clicks (destination)	NUMERIC	Performance
conversion	Conversions (Duplicate)	NUMERIC	Performance
conversion_rate	Conversion rate (CVR, clicks)	PERCENT	Performance
conversion_rate_v2	Conversion rate (CVR)	PERCENT	Performance
conversions	Conversions	NUMERIC	Performance
cost_per_conversion	Cost per conversion	NUMERIC	Performance
cost_per_cta_conversion	Cost per CTA conversion	NUMERIC	Conversions (Attribution)
cost_per_custom_page_event	Cost per custom event (website)	NUMERIC	Conversions (Website)
cost_per_engaged_view_through_conversion	Cost per EVTA conversion	NUMERIC	Conversions (Attribution)
cost_per_form	Cost per form submitted (website)	NUMERIC	Conversions (Website)
cost_per_ix_page_view_count	Cost per page view (TikTok)	NUMERIC	Conversions (TikTok)
cost_per_landing_page_view	Cost per landing page view (website)	NUMERIC	Conversions (Website)
cost_per_offline_form_event	Cost per form submitted (offline)	NUMERIC	Conversions (Offline)
cost_per_onsite_form	Cost per form submitted (TikTok)	NUMERIC	Conversions (TikTok)
cost_per_page_content_view_event	Cost per content view (website)	NUMERIC	Conversions (Website)
cost_per_page_event_search	Cost per search (website)	NUMERIC	Conversions (Website)
cost_per_pageview	Cost per page view (website)	NUMERIC	Conversions (Website)
cost_per_sales_lead	Unique cost per lead generated (app)	NUMERIC	Conversions (App)
cost_per_total_sales_lead	Cost per lead generated (app)	NUMERIC	Conversions (App)
cost_per_vta_conversion	Cost per VTA conversion	NUMERIC	Conversions (Attribution)
